,exec_memory,exec_cores,iteration,max_partition,executor_instance,time_1,time_2,time_3,total_time,n_executor,app_name
0,1,1,2,34069876,5,"[196.79283452033997, 219.54006791114807, 215.0754292011261]","[134.5833399295807, 141.5552215576172, 130.24918055534363]","[133.6822645664215, 143.1917266845703, 119.6146593093872]","[487.41193985939026, 529.6519856452942, 487.40526723861694]",,Spark Analysis 5
1,1,1,2,25552407,5,"[229.16322350502014, 237.28257155418396, 213.477548122406]","[131.3047697544098, 130.66276621818542, 163.36135482788086]","[143.67861413955688, 136.22922897338867, 124.80289340019226]","[528.045045375824, 526.6373286247253, 526.1106722354889]",,Spark Analysis 5
