,exec_memory,exec_cores,iteration,max_partition,executor_instance,time_1,time_2,time_3,total_time,n_executor,app_name
0,1,2,2,56783126,4,"[175.7587525844574, 177.1187379360199, 187.73007535934448]","[115.99607443809509, 121.2383713722229, 115.55326700210571]","[107.25150990486145, 110.19692826271057, 93.26331663131714]","[420.55028223991394, 429.92973923683167, 417.6639189720154]",,Spark Analysis 4
1,1,2,2,51104814,4,"[174.1519320011139, 186.12962770462036, 183.58907103538513]","[118.84133553504944, 114.99069428443909, 117.65058183670044]","[91.97303771972656, 97.62710404396057, 125.62274646759033]","[409.2393078804016, 419.80701208114624, 448.19547390937805]",,Spark Analysis 4
