,exec_memory,exec_cores,iteration,max_partition,executor_instance,time_1,time_2,time_3,total_time,n_executor,app_name
0,1,1,2,511048134,5,"[1044.275250673294, 874.6071062088013, 463.6979570388794]","[155.48978924751282, 139.85280418395996, 142.0962884426117]","[180.35158252716064, 175.60100769996643, 199.63642764091492]","[1405.0550472736359, 1215.8776025772095, 826.7203538417816]",,Spark Analysis 5
1,1,1,2,255524067,5,"[677.3807964324951, 750.8916311264038, 725.6065933704376]","[136.36464476585388, 139.37464690208435, 139.3024492263794]","[128.31673073768616, 139.03166961669922, 116.05400490760803]","[969.438473701477, 1055.7143189907074, 1007.0397186279297]",,Spark Analysis 5
