,exec_memory,exec_cores,iteration,max_partition,executor_instance,time_1,time_2,time_3,total_time,n_executor,app_name
0,1,2,2,127762034,4,"[227.100280046463, 209.79038095474243, 219.78405046463013]","[120.16267824172974, 122.350252866745, 118.6276626586914]","[106.39759397506714, 102.36045980453491, 95.72744274139404]","[474.1345851421356, 454.76071858406067, 457.8182053565979]",,"Spark Analysis slave 1, 2c"
1,1,2,2,51104814,4,"[184.00329494476318, 181.68751454353333, 172.35097885131836]","[118.03820419311523, 117.69900035858154, 116.39624214172363]","[90.9360613822937, 90.86484503746033, 95.05438041687012]","[415.1117606163025, 410.0095570087433, 407.31475472450256]",,"Spark Analysis slave 1, 2c"
