,exec_memory,exec_cores,iteration,max_partition,executor_instance,time_1,time_2,time_3,total_time,n_executor,app_name
0,1,2,2,127762034,4,"[329.06860971450806, 334.4020097255707, 348.96505761146545]","[223.7511739730835, 227.3706202507019, 224.93206477165222]","[159.4626226425171, 149.3892285823822, 138.39524912834167]","[741.10578083992, 740.0811202526093, 751.7856028079987]",,"Spark Analysis slave 1, 2c"
1,1,2,2,51104814,4,"[346.93585324287415, 289.2842683792114, 300.4806663990021]","[222.94644618034363, 226.50571084022522, 226.4177541732788]","[140.71080470085144, 139.03166723251343, 144.3715898990631]","[743.9309577941895, 683.5479180812836, 700.9509148597717]",,"Spark Analysis slave 1, 2c"
