,exec_memory,exec_cores,iteration,max_partition,executor_instance,time_1,time_2,time_3,total_time,n_executor,app_name
0,1,2,2,34069876,4,"[175.05780911445618, 190.27802324295044, 167.25181937217712]","[119.04227042198181, 116.04452729225159, 116.1572494506836]","[111.55950140953064, 100.00782537460327, 96.0579674243927]","[426.2274808883667, 425.82258319854736, 400.50317430496216]",,Spark Analysis 5
1,1,2,2,25552407,4,"[174.9275574684143, 169.77320265769958, 187.1307737827301]","[117.67228317260742, 114.49913048744202, 114.38735818862915]","[109.32769632339478, 95.10174894332886, 109.05583930015564]","[422.46272683143616, 400.2853682041168, 431.30777859687805]",,Spark Analysis 5
